Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Трихопол таблетки вагинальные 500 мг 10 шт,"АКРИХИН, ПольшаМетронидазол",Метронидазол,None,421 ₽,https://366.ru/p/trikhopol-tab-vag-500mg-10-17661/,https://media.366.ru/sys_master/product/h13/hbb/8815974940702.jpg
Циклодинон капли 50 мл,"Bionorica, ГерманияПрутняка обыкновенного плодов экстракт",Прутняка обыкновенного плодов экстракт,None,767 ₽,https://366.ru/p/ciklodinon-kapli-d-priema-vnutr-50ml-1-17931/,https://media.366.ru/sys_master/product/h84/h82/9667019472926.png
Циклодинон таблетки 30 шт,"Bionorica, ГерманияПрутняка обыкновенного плодов экстракт",Прутняка обыкновенного плодов экстракт,None,818 ₽,https://366.ru/p/ciklodinon-tab-p-o-30-17932/,https://media.366.ru/sys_master/product/h33/h7a/9667019964446.png
Нистатин суппозитории вагинальные 500000 ед 10 шт,"БИОТЭК, РоссияНистатин",Нистатин,None,233 ₽,https://366.ru/p/nistatin-supp-vag-500000ed-10-18476/,https://media.366.ru/sys_master/product/hed/h98/8817457037342.jpg
Юнона набор гинекологический одноразовый Тип-4,"СИМУРГ ""МЕДИЦИНСКОЕ ПРЕДПРИЯТИЕ"", Беларусь",None,None,115 ₽,https://366.ru/p/nabor-ginekolog-odnoraz-junona4-19339/,https://media.366.ru/sys_master/product/hbc/h87/8825442336798.jpg
"Препидил гель 0,5 мг/1 шприц","Пфайзер+, БельгияДинопростон",Динопростон,None,743 ₽,https://366.ru/p/prepidil-gel-0-5mg-1shpric-19696/,https://media.366.ru/sys_master/product/hc3/h68/8818502533150.jpg
Окситоцин-МЭЗ раствор 5 МЕ 1 мл ампулы 10 шт,"МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД, РоссияОкситоцин",Окситоцин,None,42 ₽,https://366.ru/p/oksitocinmez-rr-v-v-v-m-5me1ml-amp10-20785/,https://media.366.ru/sys_master/product/h7a/h23/8818460557342.jpg
Нео-пенотран суппозитории вагинальные 14 шт,"АЦИНО РУС, ТурцияМетронидазол + Миконазол",Метронидазол + Миконазол,None,944 ₽,https://366.ru/p/neopenotran-supp-vag-14-22342/,https://media.366.ru/sys_master/product/h6b/h80/9768792031262.jpg
Клотримазол таблетки вагинальные 100 мг 6 шт,"GlaxoSmith Kline Healthcare, ПольшаКлотримазол",Клотримазол,None,52 ₽,https://366.ru/p/klotrimazol-tab-vag-100mg-6-22760/,https://media.366.ru/sys_master/product/hc1/hf8/8816029237278.jpg
Фарматекс суппозитории вагинальные 10 шт,"Innothera Chouzy, ФранцияБензалкония хлорид",Бензалкония хлорид,None,668 ₽,https://366.ru/p/farmateks-supp-vag-18-9mg-10-23265/,https://media.366.ru/sys_master/product/h31/hae/8816040509470.jpg
Фарматекс таблетки вагинальные 20 мг 12 шт,"Innothera Chouzy, ФранцияМиристалкония хлорид",Миристалкония хлорид,None,462 ₽,https://366.ru/p/farmateks-tab-vag-20mg-12-23423/,https://media.366.ru/sys_master/product/h48/h72/8816048111646.jpg
"Диферелин порошок лиофилизат для инъекций флаконшприц 3,75 мг 1 шт","ИПСЕН, ФранцияТрипторелин",Трипторелин,None,7 437 ₽,https://366.ru/p/diferelin-liof-d-in-3-75mg-rl-shpr-1-23786/,https://media.366.ru/sys_master/product/h8e/h4d/8818188976158.jpg
Климадинон таблетки 20 мг 60 шт,"Bionorica, ГерманияЦимицифуги даурской корневища с корнями",Цимицифуги даурской корневища с корнями,None,630 ₽,https://366.ru/p/klimadinon-tab-60-24051/,https://media.366.ru/sys_master/product/h3c/h1a/9667021570078.png
Пурегон порошок 100 ме + ампулы с растворителем 5 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыФоллитропин бета",Фоллитропин бета,None,9 121 ₽,https://366.ru/p/puregon-rr-v-m-p-k-100me-0-5ml-fl-5-24772/,https://media.366.ru/sys_master/product/hce/h39/8818333024286.jpg
Линдинет 30 таблетки 30 мг 21 шт,"Гедеон Рихтер, ВенгрияГестоден + Этинилэстрадиол",Гестоден + Этинилэстрадиол,None,739 ₽,https://366.ru/p/lindinet-30-tab-p-o-21-24979/,https://media.366.ru/sys_master/product/hf2/h26/8816064495646.jpg
Эстрокад суппозитории вагинальные 500 мкг 10 шт,"Д-Р КАДЕ, ГерманияЭстриол",Эстриол,None,795 ₽,https://366.ru/p/estrokad-svechi-vag-0-5mg-10-25342/,https://media.366.ru/sys_master/product/h8a/h97/9768799404062.png
ВМС Юнона Био-Т Ag спираль кольцеобразная тип-1,"СИМУРГ ""МЕДИЦИНСКОЕ ПРЕДПРИЯТИЕ"", Беларусь",None,None,538 ₽,https://366.ru/p/vms-junona-biot-ag-kolceobraznyj-tip-1-25486/,https://media.366.ru/sys_master/product/ha9/hef/8817530863646.jpg
Эпиген Интим гель 250 мл,"ИНВАР, Испания",None,None,1 631 ₽,https://366.ru/p/epigen-intim-gel-d-intimn-gigieny-250ml-25802/,https://media.366.ru/sys_master/product/hf2/h3a/8817535713310.jpg
Кандид гель вагинальный 2% 30 г,"Glenmark Pharmaceuticals, ИндияКлотримазол",Клотримазол,None,128 ₽,https://366.ru/p/kandid-vag-gel-2-30g-s-applikatorom-25914/,https://media.366.ru/sys_master/product/hfc/ha2/8816083894302.jpg
Достинекс таблетки 8 шт,"Пфайзер+, ИталияКаберголин",Каберголин,None,3 284 ₽,https://366.ru/p/dostineks-tab-0-5mg-8-28465/,https://media.366.ru/sys_master/product/h87/hd9/8817562746910.jpg
