Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Чистотела трава 50 г,"ИВАН-ЧАЙ, РоссияЧистотела большого трава",Чистотела большого трава,None,84 ₽,https://366.ru/p/chistotela-trava-50g-11393/,https://media.366.ru/sys_master/product/hc7/hc2/8818471338014.jpg
Чистотел трава 50 г,"ЕВРОПЛАНТ, РоссияЧистотела большого трава",Чистотела большого трава,None,124 ₽,https://366.ru/p/chistotela-trava-50g-11394/,https://media.366.ru/sys_master/product/h92/h14/9718310240286.png
"Чистотел трава фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияЧистотела большого трава",Чистотела большого трава,None,123 ₽,https://366.ru/p/chistotela-trava-f-p-1-5g-20-11397/,https://media.366.ru/sys_master/product/hd6/hc1/8818109841438.jpg
Шалфей листья 50 г,"ЕВРОПЛАНТ, РоссияШалфея лекарственного листья",Шалфея лекарственного листья,None,105 ₽,https://366.ru/p/shalfeja-listja-50g-11438/,https://media.366.ru/sys_master/product/h25/he5/9718561243166.png
Шалфей листья 50 г,"ИВАН-ЧАЙ, РоссияШалфея лекарственного листья",Шалфея лекарственного листья,None,79 ₽,https://366.ru/p/shalfeja-listja-50g-11437/,https://media.366.ru/sys_master/product/h2a/h33/8815890694174.jpg
Эрва шерстистая (пол-пола) трава 30 г,"ЕВРОПЛАНТ, РоссияЭрвы шерстистой трава",Эрвы шерстистой трава,None,107 ₽,https://366.ru/p/ervy-sherst--polpaly-trava-30g-11818/,https://media.366.ru/sys_master/product/h63/h5e/9718561701918.png
Толокнянка листья 50 г,"ЕВРОПЛАНТ, РоссияТолокнянки обыкновенной листья",Толокнянки обыкновенной листья,None,97 ₽,https://366.ru/p/toloknjanki-listja-50g-12046/,https://media.366.ru/sys_master/product/h9a/h51/9718562160670.png
Арфазетин-э сбор фильтр-пакет 2 г 20 шт,"ЕВРОПЛАНТ, РоссияЗверобоя продырявленного трава + Ромашки аптечной цветки + Фасоли обыкновенной створки плодов + Хвоща полевого трава + Черники обыкновенной побеги + Шиповник",Зверобоя продырявленного трава + Ромашки аптечной цветки + Фасоли обыкновенной створки плодов + Хвоща полевого трава + Черники обыкновенной побеги + Шиповник,None,146 ₽,https://366.ru/p/arfazetine-sbor-f-p-2g-20-20538/,https://media.366.ru/sys_master/product/h5f/h50/9718563536926.png
Арфазетин-э сбор 50 г,"ЕВРОПЛАНТ, РоссияЗверобоя продырявленного трава + Ромашки аптечной цветки + Фасоли обыкновенной створки плодов + Хвоща полевого трава + Черники обыкновенной побеги + Шиповник",Зверобоя продырявленного трава + Ромашки аптечной цветки + Фасоли обыкновенной створки плодов + Хвоща полевого трава + Черники обыкновенной побеги + Шиповник,None,128 ₽,https://366.ru/p/arfazetine-sbor-50g-20537/,https://media.366.ru/sys_master/product/h66/h49/8817477353502.jpg
Береза почки 50 г,"ЕВРОПЛАНТ, РоссияБерезы почки",Березы почки,None,266 ₽,https://366.ru/p/berezy-pochki-50g-23682/,https://media.366.ru/sys_master/product/h42/h49/9718563995678.png
"Золототысячника трава фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияЗолототысячника трава",Золототысячника трава,None,121 ₽,https://366.ru/p/zolototysjachnika-trava-f-p-1-5g-20-25166/,https://media.366.ru/sys_master/product/h02/h81/9718564913182.png
"Крушина кора фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияКрушины кора",Крушины кора,None,121 ₽,https://366.ru/p/krushiny-kora-f-p-1-5g-20-25168/,https://media.366.ru/sys_master/product/h8d/h4a/9718565830686.png
